id,email,name,address,hometown,p_latitude,p_longitude,age,salary,gender,relationship_status,education,employment_status,plan
0,cristianbryant@hotmail.com,James Jones,"8648 Barnett Lakes Apt. 862
Jeremyfurt, NC 71954-4243","USS Hess
FPO AP 08969-0518",-66.074053,178.549216,30,960213,male,single,ng,employed,1
1,harrismary@gmail.com,Patrick Anderson,"12960 Karen Mews
Howardtown, DC 69970-0915","09532 Carol Camp Suite 877
Christopherview, MT 53929-1082",51.8462165,-172.428005,51,331751,male,married,g,unemployed,1
2,jjones@brown-guerrero.info,Evan Kim,"08168 Matthew Turnpike
North Francisco, FL 63543-1136","1259 Carlson Square
Port Amber, HI 57850-4023",-37.0016005,-150.255608,71,684608,male,married,g,employed,1
3,vincentrodriguez@horton.com,Anthony Lozano,"80119 Davenport Road
Rickyborough, PW 01554-1166","87100 Nichols Manors
Krystalfurt, CT 72567",80.125308,-129.72563,33,722825,male,married,g,employed,3
4,cmorris@reeves-shaw.com,Diane Ortiz,"3718 Mary Walk
Parsonsshire, MT 93479","0545 John Valleys Suite 824
Kaufmanmouth, AS 54842-0043",-59.7681925,-151.529137,74,792860,male,married,ng,employed,2
5,carol12@gonzalez-turner.org,Blake Wang,"62545 Walker Grove Suite 371
Lake Aaron, TX 08338-3544","78825 Cheryl Hill
Chrisborough, VI 14555-5237",74.6289545,131.663829,37,792605,male,married,pg,unemployed,3
6,tapiachristopher@hotmail.com,Joseph Miller,"286 Daniel Centers Suite 327
New Sherrymouth, GU 01812-3816","505 Wendy Mall
Port Caleb, NV 27941-4610",-55.2348635,-46.690237,33,1328233,male,single,ng,employed,2
7,jennifer87@martin.com,Oscar Reese,"8757 Tonya Glens
Amandamouth, AR 26978","2430 Eugene Hills Suite 029
Woodbury, FM 00670-2054",9.6409695,-0.129005,69,1256136,male,widower,g,unemployed,3
8,farrellanna@donovan.info,Dean Martin,"49371 Ann Creek Apt. 849
North Manuelfurt, HI 88492","06196 Alvarez Ports Suite 062
Stonestad, MH 74730-4409",38.3934635,-34.304813,66,406467,female,widow,g,employed,2
9,ovaldez@watson.biz,Derek Skinner,"Unit 9686 Box 3776
DPO AE 35080-9759","95097 Jeff Light Suite 929
New Leslieside, IL 08617",-4.783531,149.695781,51,1247010,female,single,g,employed,2
